Cal_kcal,Protein_g,Fat_g,SF_g,TF_g,Cho_g,Sugar_g,Na_g,Name,Brand,Resource,UpdateTime,Portions,BraName
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Milk kiss蜜桃乳酸飲,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_Milk kiss蜜桃乳酸飲
288.0,8.9,14.3,8.6,0.0,30.0,29.0,0.225,太妃核果風味那堤                                             ,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_太妃核果風味那堤                                             
352.0,9.6,15.1,8.9,0.0,50.0,43.0,0.106,薄荷風味摩卡咖啡                                                                   ,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_薄荷風味摩卡咖啡                                                                   
274.0,3.6,11.0,6.7,0.0,42.0,40.0,0.155,摩卡星冰樂,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_摩卡星冰樂
316.0,10.4,15.6,9.3,0.4,34.0,30.0,0.114,義式經典巧克力咖啡                  ,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_義式經典巧克力咖啡                  
296.0,8.8,14.3,8.5,0.0,33.0,31.0,0.123,薑餅香那堤                           ,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_薑餅香那堤                           
352.0,9.8,16.5,10.5,0.0,41.0,37.0,0.257,耶誕雪白巧克力那堤,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_耶誕雪白巧克力那堤
160.0,5.0,5.0,3.0,0.0,23.0,23.0,0.075,伯爵茶那堤                                                          ,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_伯爵茶那堤                                                          
203.0,5.8,7.0,4.7,0.0,29.3,22.8,0.068,草莓優格飲,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_草莓優格飲
244.0,10.6,10.4,5.9,0.0,27.0,26.0,0.136,蜜桃風味紅茶那堤                                                                       ,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_蜜桃風味紅茶那堤                                                                       
240.0,10.6,10.4,5.9,0.0,27.0,25.0,0.136,香草風味紅茶那堤                                                     ,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_香草風味紅茶那堤                                                     
81.0,0.2,0.1,0.0,0.0,22.0,19.0,0.017,冰洋梨洋甘菊花茶                                                         ,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_冰洋梨洋甘菊花茶                                                         
304.0,10.4,10.7,6.0,0.0,45.0,33.0,0.137,栗子紅茶那堤                                               ,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_栗子紅茶那堤                                               
125.0,0.1,0.0,0.0,0.0,31.0,29.0,0.021,蘋果藍莓紅玉紅茶                                            ,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_蘋果藍莓紅玉紅茶                                            
148.0,1.9,1.5,0.9,0.0,32.0,24.0,0.128,濃縮星冰樂,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_濃縮星冰樂
91.0,0.2,0.1,0.0,0.0,26.0,23.0,0.018,洋梨洋甘菊花茶,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_洋梨洋甘菊花茶
110.0,2.7,0.0,0.0,0.0,24.9,21.9,0.345,橘色蔬菜綜合果汁,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_橘色蔬菜綜合果汁
192.0,7.4,7.1,4.1,0.2,25.0,22.0,0.1,咖啡漿果風味瑪奇朵                                                    ,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_咖啡漿果風味瑪奇朵                                                    
