Intake_g,Cal_kcal,Protein_g,Fat_g,SF_g,TF_g,Cho_g,Sugar_g,Na_g,Name,Brand,Resource,UpdateTime,Portions,BraName
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,星巴克星願桶,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_星巴克星願桶
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,星巴克蝴蝶酥,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_星巴克蝴蝶酥
5.0,18.4,0.2,0.1,0.0,0.0,4.3,2.8,0.001,迷你煎蛋軟糖(香草橘子風味),Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_迷你煎蛋軟糖(香草橘子風味)
115.0,279.0,8.9,10.2,7.9,0.0,44.5,15.3,0.478,原味現烤鬆餅,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_原味現烤鬆餅
170.0,83.0,0.8,0.2,0.0,0.0,19.9,15.3,0.01,樂活水果杯,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_樂活水果杯
175.0,351.0,21.0,6.3,3.5,0.0,52.3,0.0,0.651,法式芥茉雞肉三明治,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_法式芥茉雞肉三明治
90.0,319.0,10.2,18.7,12.7,0.3,27.4,9.9,0.202,香草蘋果巧酥,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_香草蘋果巧酥
100.0,250.0,9.5,9.7,2.5,0.0,31.4,8.2,0.293,黑麥鮪魚三明治,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_黑麥鮪魚三明治
95.0,51.0,1.2,0.8,0.2,0.0,9.9,8.0,0.021,萵苣鮮沙拉,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_萵苣鮮沙拉
171.0,328.0,12.5,12.5,2.6,0.0,41.6,0.0,0.833,炸雞青蔬捲餅,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_炸雞青蔬捲餅
