Brand,Name,Portions,Cal_kcal,Protein_g,Fat_g,SF_g,TF_g,Na_g,Cho_g,Resource,UpdateTime,BraName
MOS BURGER,元氣和牛珍珠堡(牛),一份,722.7  ,24.3  ,42.6  ,7.3  ,1.5  ,0.5109,60  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_元氣和牛珍珠堡(牛)
MOS BURGER,燒肉珍珠堡(牛),一份,471.1  ,13.1  ,22.9  ,5.1  ,0  ,0.38889999999999997,52.4  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_燒肉珍珠堡(牛)
MOS BURGER,摩斯吉士漢堡(原味/辣味)(牛),一份,287.4  ,13.3  ,12.3  ,3.3  ,0  ,0.8351000000000001,31  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_摩斯吉士漢堡(原味/辣味)(牛)
MOS BURGER,摩斯漢堡(原味/辣味)(牛),一份,287.4  ,13.3  ,12.3  ,3.3  ,0  ,0.8351000000000001,31  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_摩斯漢堡(原味/辣味)(牛)
MOS BURGER, 蜜汁烤雞堡,一份,287.4  ,13.3  ,12.3  ,3.3  ,0  ,0.8351000000000001,31  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_ 蜜汁烤雞堡
MOS BURGER,藜麥元氣和牛珍珠堡(牛),一份,287.4  ,13.3  ,12.3  ,3.3  ,0  ,0.8351000000000001,31  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_藜麥元氣和牛珍珠堡(牛)
MOS BURGER,藜麥燒肉珍珠堡(牛),一份,287.4  ,13.3  ,12.3  ,3.3  ,0  ,0.8351000000000001,31  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_藜麥燒肉珍珠堡(牛)
MOS BURGER,藜麥海洋珍珠堡,一份,287.4  ,13.3  ,12.3  ,3.3  ,0  ,0.8351000000000001,31  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_藜麥海洋珍珠堡
MOS BURGER,藜麥薑燒珍珠堡,一份,287.4  ,13.3  ,12.3  ,3.3  ,0  ,0.8351000000000001,31  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_藜麥薑燒珍珠堡
MOS BURGER,藜麥杏鮑菇珍珠堡,一份,287.4  ,13.3  ,12.3  ,3.3  ,0  ,0.8351000000000001,31  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_藜麥杏鮑菇珍珠堡
MOS BURGER,蜜汁烤雞起司堡,一份,287.4  ,13.3  ,12.3  ,3.3  ,0  ,0.8351000000000001,31  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_蜜汁烤雞起司堡
MOS BURGER, 海洋珍珠堡,一份,390.2  ,11.3  ,8.6  ,3.6  ,0  ,0.331,66.2  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_ 海洋珍珠堡
MOS BURGER, 薑燒珍珠堡,一份,355.6  ,15.5  ,7.5  ,2.9  ,0  ,0.491,56.6  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_ 薑燒珍珠堡
MOS BURGER,杏鮑菇珍珠堡,一份,333.6  ,8.4  ,3.9  ,0.8  ,0  ,0.561,66.1  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_杏鮑菇珍珠堡
MOS BURGER,厚切培根和牛堡(牛),一份,744.4  ,27.8  ,53.9  ,9.6  ,1.5  ,0.8551,36.6  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_厚切培根和牛堡(牛)
MOS BURGER, 摩斯鱈魚堡,一份,508  ,20.5  ,28.7  ,2.3  ,0  ,0.608,39.6  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_ 摩斯鱈魚堡
MOS BURGER, 黃金炸蝦堡,一份,390  ,16.4  ,17.7  ,1.8  ,0  ,0.65,41.2  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_ 黃金炸蝦堡
MOS BURGER,摘鮮綠黃金炸蝦堡,一份,250  ,11.1  ,15.3  ,1.8  ,0  ,0.474,17.5  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_摘鮮綠黃金炸蝦堡
MOS BURGER,摩斯熱狗堡,一份,278.4  ,12.7  ,11.6  ,3.1  ,0  ,0.7126,31.1  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_摩斯熱狗堡
MOS BURGER,辣味吉利熱狗堡,一份,287.4  ,13.3  ,12.3  ,3.3  ,0  ,0.8351000000000001,31  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_辣味吉利熱狗堡
MOS BURGER,海老天丼珍珠堡,一份,287.4  ,13.3  ,12.3  ,3.3  ,0  ,0.8351000000000001,31  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_海老天丼珍珠堡
MOS BURGER,炙燒烤雞珍珠堡,一份,287.4  ,13.3  ,12.3  ,3.3  ,0  ,0.8351000000000001,31  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_炙燒烤雞珍珠堡
